CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer
597f1e84,,Tonya,,Fernandez,,62886 Robinson Islands Suite 233,,Perth,a260f627,7cd311a6,6006,7129175887,1978-12-01,Graduate Degree,Skilled Manual,M,S,1,0,0,1,180049,1
cb48f465,,Derrick,Eric,Shaw,,592 Boyd Inlet,,Geelong,e74020ab,110396df,6105,766.737.6263,1976-02-26,Partial College,Professional,F,M,1,4,5,5,122894,1
d0804061,,Jacob,Jeffrey,Bird,,412 Osborne Freeway,,Malabar,696d2a45,110396df,4655,+1-531-604-7252x661,1955-01-31,Bachelors ,Skilled Manual,M,M,1,2,0,0,60061,0
05c3b998,,Rodney,,Tanner,,439 Nguyen Bridge,,Concord,929b49b9,7cd311a6,V9,739.357.1647x7624,1932-08-27,Bachelors ,Skilled Manual,M,M,1,2,1,4,57501,0
42ef1ce4,,Krystal,,Miller,,886 Matthews Courts Apt. 302,,Redwood City,cc376ecb,7cd311a6,B29 6SL,504.394.0153x74221,1971-01-02,Graduate Degree,Professional,M,M,1,0,0,4,125483,0
e3becd2b,,Erica,Robert,Cordova,,453 Rowe Shoals,,Coronado,6a199d3f,7cd311a6,90210,(846)292-8754,1953-09-24,Partial High School,Management,M,M,0,2,0,4,126697,0
23768f39,,Brandon,Jeffrey,Combs,,2459 Castillo Mall Suite 585,,Suresnes,3d2fb7c6,33055db0,75003,(740)329-1270,1968-11-08,Graduate Degree,Manual,F,S,1,0,0,2,43461,0
1d4b5b4b,,Jordan,Gabrielle,Lozano,,114 Steven Vista Apt. 844,,Springwood,52037842,e4ed469d,2777,9938330182,1935-12-10,Partial College,Professional,M,M,1,4,5,2,170369,1
3c7f09bd,,Brian,,Smith,,3961 Todd Grove,,Bendigo,22d23946,110396df,4700,701-976-7423x29929,1976-01-02,Bachelors ,Professional,M,S,0,2,0,0,109017,1
8bdd73a7,,Jennifer,,Goodman,,3591 Phillip Hollow Apt. 562,,La Jolla,96c4bf2f,7db82407,92806,637.603.1262x39177,1966-01-09,Partial High School,Skilled Manual,M,S,1,1,4,4,40841,0
eed23943,,Jamie,Jeffrey,Schneider,,9534 Cameron Shores Suite 095,,Olympia,929b49b9,7cd311a6,97068,813.245.5154,1979-05-27,Partial College,Skilled Manual,M,S,1,1,0,0,63739,1
0c070732,,Cheryl,,Goodman,,51580 Bolton Drive Apt. 766,,London,cc376ecb,c6cfb6d1,V2L3W8,+1-676-732-6084,1967-01-05,High School,Professional,F,S,0,3,0,4,137169,1
d2e8e34a,,Whitney,Jeffrey,Lopez,,038 Deborah Station,,Fremont,d45a7832,110396df,90706,(306)242-9656x7300,1959-05-04,Graduate Degree,Management,F,M,1,2,0,5,135172,1
e940a1d8,,Tonya,Robert,Henderson,,877 Holden Run,,Central Valley,cc376ecb,c6cfb6d1,SL67RJ,592.303.1316x7615,1964-06-26,Partial College,Manual,M,M,1,1,0,1,56624,0
17b84aed,,Richard,Julie,Washington,,5815 Francisco Greens,,Langford,cc376ecb,7cd311a6,94010,(845)365-8035,1956-07-31,Graduate Degree,Professional,M,M,1,0,0,3,114618,0
85a6fdf3,,Alexander,,White,,80106 Edwards Wall Suite 520,,Burlingame,6a199d3f,7cd311a6,97071,4285523759,1969-03-01,Graduate Degree,Skilled Manual,M,S,1,1,0,0,89897,0
a11c54a5,,Sara,,Jones,Jr.,3908 Duncan Neck,,Geelong,745dc531,110396df,90012,+1-580-506-2033,1950-05-05,Bachelors ,Skilled Manual,M,S,0,2,0,0,63762,0
