CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer
734d095c,,Candace,Aaron,Goodman,,569 Sheena Causeway Apt. 655,,Rockhampton,22d23946,110396df,4700,649.811.5645x034,1966-04-28,Bachelors ,Professional,M,M,1,0,0,2,137947,0
bdd1abfd,,Michael,Robert,Figueroa,,56570 Emma Shoal Suite 542,,Seaford,d45a7832,110396df,3198,458.971.4227,1965-06-03,Bachelors ,Professional,M,S,0,1,3,3,101141,1
00874d69,,Wendy,,Fitzgerald,,4730 Melissa Cliff Apt. 354,,Hobart,9d7c76e0,110396df,7001,5022940358,1965-09-01,Bachelors ,Professional,M,M,1,1,3,3,91945,0
373d0bf4,,Darryl,,Jones,,610 Rodriguez Run Suite 515,,North Ryde,d8cbfbb3,110396df,2113,649.811.5645x034,1968-03-06,Bachelors ,Professional,F,S,0,1,0,0,86688,0
c454043a,,Wendy,,Avila,,0253 Taylor Trail Suite 035,,Wollongong,d8cbfbb3,110396df,2500,218-633-3084x25637,1968-08-28,Bachelors ,Professional,F,S,1,4,5,5,92771,1
371c25da,,Michelle,,Ramirez,,24387 Jones Cliffs Suite 286,,East Brisbane,22d23946,110396df,4169,001-857-449-1502x75064,1965-08-25,Bachelors ,Professional,M,S,1,1,0,0,103199,1
510728cf,,Jennifer,Alexander,Padilla,,235 Rodriguez Valley Suite 509,,Matraville,d8cbfbb3,110396df,2036,5022940358,1965-12-26,Bachelors ,Professional,F,S,1,1,0,0,84756,1
c22208f5,,Victor,,White,,20201 Miles Shoals,,Warrnambool,d45a7832,110396df,3280,675-369-7240,1964-05-29,Bachelors ,Professional,M,M,1,2,3,3,109759,1
78c7c2be,,Mariah,,Cook,,8578 Murray Green Suite 659,,Bendigo,d45a7832,110396df,3550,357.862.9653,1964-07-27,Bachelors ,Professional,F,S,1,3,4,4,88005,1
a7c42c4c,,Logan,Matthew,Henderson,,0949 John Station,,Hervey Bay,22d23946,110396df,4655,458.971.4227,1964-04-21,Bachelors ,Professional,M,S,0,1,0,0,106399,0
824cb50a,,Shannon,Matthew,Rodriguez,,32221 Kurt Row,,East Brisbane,22d23946,110396df,4169,001-936-842-9174x649,1964-02-26,Bachelors ,Professional,F,S,0,1,0,0,81294,0
d7670e29,,Jeremiah,,Combs,,8501 Rebecca Path Suite 164,,East Brisbane,22d23946,110396df,4169,896.597.7226x4093,1963-11-24,Bachelors ,Professional,M,M,1,4,4,4,94029,1
a06c9c8f,,Christopher,Jeffrey,Ayala,,352 Brown Row,,Bremerton,a260f627,7cd311a6,98312,8297765036,1968-02-07,Bachelors ,Management,F,M,1,2,0,2,99245,1
c832a562,,Stephanie,Jeffrey,Blanchard,,25455 Brandon Glen,,Lebanon,929b49b9,7cd311a6,97355,001-519-331-2994x516,1968-08-26,Bachelors ,Management,M,M,1,3,0,2,115859,0
